Astreopora randalli,Astreopora randalli,Acroporidae,Acroporidae,complex
Astreopora scabra,Astreopora scabra,Acroporidae,Acroporidae,complex
Astreopora suggesta,Astreopora suggesta,Acroporidae,Acroporidae,complex
Astroides calycularis,Astroides calycularis,Dendrophylliidae,Dendrophylliidae,complex
Aulocyathus atlanticus,Aulocyathus atlanticus,Caryophylliidae,Caryophylliidae,robust
Aulocyathus juvenescens,Aulocyathus juvenescens,Caryophylliidae,Caryophylliidae,robust
Aulocyathus matricidus,Aulocyathus matricidus,Caryophylliidae,Caryophylliidae,robust
Aulocyathus recidivus,Aulocyathus recidivus,Caryophylliidae,Caryophylliidae,robust
Australocyathus vincentinus,Australocyathus vincentinus,Turbinoliidae,Turbinoliidae,complex
Australogyra zelli,Australogyra zelli,Faviidae,Merulinidae,robust
Australomussa rowleyensis,Lobophyllia rowleyensis,Mussidae,Lobophylliidae,robust
Balanophyllia bairdiana,Balanophyllia bairdiana,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia bayeri,Balanophyllia bayeri,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia bonaespei,Balanophyllia bonaespei,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia buccina,Balanophyllia buccina,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia capensis,Balanophyllia capensis,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia caribbeana,Balanophyllia caribbeana,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia carinata,Balanophyllia carinata,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia cedrosensis,Balanophyllia cedrosensis,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia cellulosa,Balanophyllia cellulosa,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia chnous,Balanophyllia chnous,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia corniculans,Balanophyllia corniculans,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia cornu,Balanophyllia cornu,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia crassiseptum,Balanophyllia crassiseptum,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia crassitheca,Balanophyllia crassitheca,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia cumingii,Balanophyllia cumingii,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia cyathoides,Balanophyllia cyathoides,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia dentata,Balanophyllia dentata,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia desmophyllioides,Balanophyllia desmophyllioides,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia diademata,Balanophyllia diademata,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia diffusa,Balanophyllia diffusa,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia dineta,Balanophyllia dineta,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia diomedeae,Balanophyllia diomedeae,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia dubia,Balanophyllia dubia,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia elegans,Balanophyllia elegans,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia elliptica,Balanophyllia elliptica,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia elongata,Balanophyllia elongata,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia europaea,Balanophyllia europaea,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia floridana,Balanophyllia floridana,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia galapagensis,Balanophyllia galapagensis,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia gemma,Balanophyllia gemma,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia gemmifera,Balanophyllia gemmifera,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia generatrix,Balanophyllia generatrix,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia gigas,Balanophyllia gigas,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia hadros,Balanophyllia hadros,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia imperialis,Balanophyllia imperialis,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia iwayamaensis,Balanophyllia iwayamaensis,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia laysanensis,Balanophyllia laysanensis,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia malouiensis,Balanophyllia malouiensis,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia merguiensis,Balanophyllia merguiensis,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia palifera,Balanophyllia palifera,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia parallela,Balanophyllia parallela,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia parvula,Balanophyllia parvula,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia pittieri,Balanophyllia pittieri,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia ponderosa,Balanophyllia ponderosa,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia profundicella,Balanophyllia profundicella,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia rediviva,Balanophyllia rediviva,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia regalis,Balanophyllia regalis,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia regia,Balanophyllia regia,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia scabra,Balanophyllia scabra,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia scabrosa,Balanophyllia scabrosa,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia serrata,Balanophyllia serrata,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia stimpsonii,Balanophyllia stimpsonii,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia taprobanae,Balanophyllia taprobanae,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia tenuis,Balanophyllia tenuis,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia teres,Balanophyllia teres,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia thalassae,Balanophyllia thalassae,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia wellsi,Balanophyllia wellsi,Dendrophylliidae,Dendrophylliidae,complex
Balanophyllia yongei,Balanophyllia yongei,Dendrophylliidae,Dendrophylliidae,complex
Barabattoia amicorum,Dipsastraea amicorum,Faviidae,Merulinidae,robust
Barabattoia laddi,Dipsastraea laddi,Faviidae,Merulinidae,robust
Barabattoia mirabilis,Dipsastraea mirabilis,Faviidae,Merulinidae,robust
Bathelia candida,Bathelia candida,Oculinidae,Oculinidae,robust
Bathycyathus chilensis,Bathycyathus chilensis,Caryophylliidae,Caryophylliidae,robust
Bathypsammia fallosocialis,Bathypsammia fallosocialis,Dendrophylliidae,Dendrophylliidae,complex
Bathypsammia tintinnabulum,Bathypsammia tintinnabulum,Dendrophylliidae,Dendrophylliidae,complex
Blastomussa merleti,Blastomussa merleti,Mussidae,Plesiastreidae,robust
Blastomussa wellsi,Blastomussa wellsi,Mussidae,Plesiastreidae,robust
Blastotrochus nutrix,Blastotrochus nutrix,Flabellidae,Flabellidae,complex
Boninastrea boninensis,Boninastrea boninensis,Merulinidae,Merulinidae,robust
Bourneotrochus stellulatus,Bourneotrochus stellulatus,Caryophylliidae,Caryophylliidae,robust
Cantharellus doederleini,Cantharellus doederleini,Fungiidae,Fungiidae,robust
Cantharellus jebbi,Cantharellus jebbi,Fungiidae,Fungiidae,robust
Cantharellus noumeae,Cantharellus noumeae,Fungiidae,Fungiidae,robust
Caryophyllia abrupta,Caryophyllia abrupta,Caryophylliidae,Caryophylliidae,robust
Caryophyllia abyssorum,Caryophyllia abyssorum,Caryophylliidae,Caryophylliidae,robust
