"","species","family","skeletaldensityMin","skeletaldensityMax","growthrateMin","growthrateMax","corallitewidthMin","corallitewidthMax","colonydiameterMin","colonydiameterMax","polypfecundityMin","polypfecundityMax","eggsizeMin","eggsizeMax","photosynthesisMin","photosynthesisMax","surfaceareaMin","surfaceareaMax","BRI"
"140","Cyphastrea chalcidicum","Merulinidae",NA,NA,NA,NA,1.6,2.8,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"141","Cyphastrea decadia","Merulinidae",NA,NA,NA,NA,2.2,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.79"
"142","Cyphastrea japonica","Merulinidae",NA,NA,NA,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Cyphastrea microphthalma","Merulinidae",NA,NA,NA,NA,1.6,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.54"
"144","Cyphastrea ocellina","Merulinidae",NA,NA,NA,NA,1.9,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.5"
"145","Cyphastrea serailia","Merulinidae",NA,NA,0.216666666666667,0.283333333333333,1.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.64"
"146","Cycloseris distorta","Fungiidae",NA,NA,NA,NA,NA,40,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"1.38"
"147","Cycloseris fragilis","Fungiidae",NA,NA,NA,NA,NA,48,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Diploastrea heliopora","Diploastraeidae",NA,NA,NA,NA,7,9,500,700,NA,NA,NA,NA,NA,NA,NA,NA,"19.94"
"149","Duncanopsammia axifuga","Dendrophylliidae",NA,NA,NA,NA,6.7,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Echinomorpha nishihirai","Lobophylliidae",NA,NA,NA,NA,NA,115.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Echinophyllia aspera","Lobophylliidae",NA,NA,NA,NA,8.8,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.56"
"152","Echinophyllia echinata","Lobophylliidae",NA,NA,NA,NA,12,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Echinophyllia echinoporoides","Lobophylliidae",NA,NA,NA,NA,2.5,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Echinophyllia orpheensis","Lobophylliidae",NA,NA,NA,NA,10,10.1,40,50,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"155","Echinopora gemmacea","Merulinidae",NA,NA,NA,NA,3,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.56"
"156","Echinopora hirsutissima","Merulinidae",NA,NA,NA,NA,3.7,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Echinopora horrida","Merulinidae",NA,NA,NA,NA,2,2.4,500,500,NA,NA,NA,NA,NA,NA,NA,NA,"0.79"
"158","Echinopora lamellosa","Merulinidae",NA,NA,NA,NA,2.3,3.4,500,500,NA,NA,NA,NA,NA,NA,NA,NA,"8.87"
"159","Echinopora mammiformis","Merulinidae",NA,NA,NA,NA,6.1,8.9,500,500,NA,NA,NA,NA,NA,NA,NA,NA,"19.16"
"160","Echinopora pacificus","Merulinidae",NA,NA,NA,NA,2.5,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.6"
