"","species_COTW","species_old","species_new","family_old","family_new","major_clade"
"102","Astreopora expansa","Astreopora expansa","Astreopora expansa","Acroporidae","Acroporidae","complex"
"103","Astreopora gracilis","Astreopora gracilis","Astreopora gracilis","Acroporidae","Acroporidae","complex"
"104","Astreopora incrustans","Astreopora incrustans","Astreopora incrustans","Acroporidae","Acroporidae","complex"
"105","Astreopora listeri","Astreopora listeri","Astreopora listeri","Acroporidae","Acroporidae","complex"
"106","Astreopora moretonensis","Astreopora moretonensis","Astreopora moretonensis","Acroporidae","Acroporidae","complex"
"107","Astreopora myriophthalma","Astreopora myriophthalma","Astreopora myriophthalma","Acroporidae","Acroporidae","complex"
"108","Astreopora ocellata","Astreopora ocellata","Astreopora ocellata","Acroporidae","Acroporidae","complex"
"109","Astreopora randalli","Astreopora randalli","Astreopora randalli","Acroporidae","Acroporidae","complex"
"110","Astreopora scabra","Astreopora scabra","Astreopora scabra","Acroporidae","Acroporidae","complex"
"111","Australogyra zelli","Australogyra zelli","Australogyra zelli","Faviidae","Merulinidae","robust"
"112","Bernardpora stutchburyi","Goniopora stutchburyi","Bernardpora stutchburyi","Poritidae","Poritidae","complex"
"113","Blastomussa merleti","Blastomussa merleti","Blastomussa merleti","Mussidae","Plesiastreidae","robust"
"114","Blastomussa vivida","NA","NA","NA","NA","NA"
"115","Blastomussa wellsi","Blastomussa wellsi","Blastomussa wellsi","Mussidae","Plesiastreidae","robust"
"116","Cantharellus jebbi","Cantharellus jebbi","Cantharellus jebbi","Fungiidae","Fungiidae","robust"
"117","Cantharellus noumeae","Cantharellus noumeae","Cantharellus noumeae","Fungiidae","Fungiidae","robust"
"118","Catalaphyllia jardinei","Catalaphyllia jardinei","Catalaphyllia jardinei","Euphylliidae","Merulinidae","robust"
"119","Caulastraea curvata","Caulastraea curvata","Caulastraea curvata","Faviidae","Merulinidae","robust"
"120","Caulastraea echinulata","Caulastraea echinulata","Caulastraea echinulata","Faviidae","Merulinidae","robust"
"121","Caulastraea furcata","Caulastraea furcata","Caulastraea furcata","Faviidae","Merulinidae","robust"
"122","Caulastraea tumida","Caulastraea tumida","Caulastraea tumida","Faviidae","Merulinidae","robust"
"123","Coeloseris mayeri","Coeloseris mayeri","Coeloseris mayeri","Agariciidae","Agariciidae","complex"
"124","Coscinaraea columna","Coscinaraea columna","Coscinaraea columna","Siderastreidae","Coscinaraeidae","robust"
"125","Coscinaraea crassa","Coscinaraea crassa","Coscinaraea crassa","Siderastreidae","Coscinaraeidae","robust"
"126","Coscinaraea exesa","Coscinaraea exesa","Coscinaraea exesa","Siderastreidae","Coscinaraeidae","robust"
"127","Coscinaraea wellsi","Coscinaraea wellsi","Cycloseris wellsi","Siderastreidae","Fungiidae","robust"
"128","Ctenactis albitentaculata","Ctenactis albitentaculata","Ctenactis albitentaculata","Fungiidae","Fungiidae","robust"
"129","Ctenactis crassa","Ctenactis crassa","Ctenactis crassa","Fungiidae","Fungiidae","robust"
"130","Ctenactis echinata","Ctenactis echinata","Ctenactis echinata","Fungiidae","Fungiidae","robust"
"131","Cycloseris costulata","Cycloseris costulata","Cycloseris costulata","Fungiidae","Fungiidae","robust"
"132","Cycloseris cyclolites","Cycloseris cyclolites","Cycloseris cyclolites","Fungiidae","Fungiidae","robust"
"133","Cycloseris erosa","Cycloseris erosa","Cycloseris tenuis","Fungiidae","Fungiidae","robust"
"134","Cycloseris patelliformis","Cycloseris patelliformis","Cycloseris fragilis","Fungiidae","Fungiidae","robust"
"135","Cycloseris sinensis","Cycloseris sinensis","Cycloseris sinensis","Fungiidae","Fungiidae","robust"
"136","Cycloseris somervillei","Cycloseris somervillei","Cycloseris somervillei","Fungiidae","Fungiidae","robust"
"137","Cycloseris tenuis","Cycloseris tenuis","Cycloseris tenuis","Fungiidae","Fungiidae","robust"
"138","Cycloseris vaughani","Cycloseris vaughani","Cycloseris vaughani","Fungiidae","Fungiidae","robust"
"139","Cynarina lacrymalis","Cynarina lacrymalis","Cynarina lacrymalis","Mussidae","Lobophylliidae","robust"
"140","Cyphastrea agassizi","Cyphastrea agassizi","Cyphastrea agassizi","Faviidae","Merulinidae","robust"
"141","Cyphastrea chalcidicum","Cyphastrea chalcidicum","Cyphastrea chalcidicum","Faviidae","Merulinidae","robust"
"142","Cyphastrea decadia","Cyphastrea decadia","Cyphastrea decadia","Faviidae","Merulinidae","robust"
"143","Cyphastrea japonica","Cyphastrea japonica","Cyphastrea japonica","Faviidae","Merulinidae","robust"
"144","Cyphastrea microphthalma","Cyphastrea microphthalma","Cyphastrea microphthalma","Faviidae","Merulinidae","robust"
"145","Cyphastrea ocellina","Cyphastrea ocellina","Cyphastrea ocellina","Faviidae","Merulinidae","robust"
"146","Cyphastrea serailia","Cyphastrea serailia","Cyphastrea serailia","Faviidae","Merulinidae","robust"
"147","Diaseris distorta","Diaseris distorta","Cycloseris distorta","Fungiidae","Fungiidae","robust"
"148","Diaseris fragilis","Diaseris fragilis","Cycloseris fragilis","Fungiidae","Fungiidae","robust"
"149","Diploastrea heliopora","Diploastrea heliopora","Diploastrea heliopora","Faviidae","Diploastraeidae","robust"
"150","Duncanopsammia axifuga","Duncanopsammia axifuga","Duncanopsammia axifuga","Dendrophylliidae","Dendrophylliidae","complex"
"151","Echinomorpha nishihirai","Echinomorpha nishihirai","Echinomorpha nishihirai","Pectiniidae","Lobophylliidae","robust"
"152","Echinophyllia aspera","Echinophyllia aspera","Echinophyllia aspera","Pectiniidae","Lobophylliidae","robust"
"153","Echinophyllia echinata","Echinophyllia echinata","Echinophyllia echinata","Pectiniidae","Lobophylliidae","robust"
